Scene,ObjectName,LineIndex,Text
"Cutscene1SadBears","DialogueBox",0,"i'm sorry my child"
"Cutscene1SadBears","DialogueBox",1,"your father, he"
"Cutscene1SadBears","DialogueBox",2,"its the chocolate"
"Cutscene1SadBears","DialogueBox",3,"He ate it all"
"Cutscene1SadBears","DialogueBox",4,"Happy Birthday Einar"
"Overworld_5","DialogueBox",0,"(I need to catch a lot of salmon today)"
"Overworld_5","DialogueBox",0,"(Today is the big day)"
"Overworld_5","DialogueBox",1,"(I can't be late to school!)"
"Berry_T_Part1","DialogueBox",0,"""Time to grab some berries before school"""
"Berry_T_Part1","DialogueBox",1,"""First, collect the berries by clicking on them"""
"Berry_T_Part1","DialogueBox",2,"""When you have collected them all, it's time to sort them out"""
"Berry_T_Part1","DialogueBox",3,"""Let the good berries fall down in the basket"""
"Berry_T_Part1","DialogueBox",4,"""But keep an eye out for moldy berries"""
"Berry_T_Part1","DialogueBox",5,"""Make sure those don't get in the basket by moving your paw and send them away"""
"Berry_T_Part1","DialogueBox",6,"""Give it a try"""
"Berry_T_Part2","DialogueBox",0,"""Remember, throw the moldy ones away by moving your paw"""
"Graduation_5","DialogueBox",0,"(I did it!)"
"Graduation_5","DialogueBox",1,"(I finally graduated! On my late dad’s birthday)"
"Graduation_5","DialogueBox",2,"(The graduation ceremony was amazing)"
"Graduation_5","DialogueBox",3,"(My mom was there, tears of joy shining in her eyes)"
"Graduation_5","DialogueBox",4,"(I even got an award for being the best salmon hunter in town)"
"Graduation_5","DialogueBox",5,"(A lot of neighbors congratulated me)"
"Graduation_5","DialogueBox",6,"(My teacher was very proud of me)"
"Graveyard","DialogueBox",0,"(I looked at the gravestone. It looked peaceful in the sunlight)"
"Graveyard","DialogueBox",1,"(I took the old flowers and replaced them with the new bouquet)"
"Graveyard","DialogueBox",2,"(I had never been fond of graveyards, but it felt calming in a way)"
"Graveyard","DialogueBox",3,"(I placed my paw on the gravestone and smiled)"
"Graveyard","DialogueBox",4,"(Happy birthday, Dad)"
"Graveyard","DialogueBox",5,"(The sun warmed my face as I walked back home, cherishing the memories that shaped who I am)"
"Home_3","DialogueBox",0,"""Hello, how was school?"""
"Home_4.5","DialogueBox",0,"""Hey honey"""
"Home_4.5","DialogueBox",1,"""How was your day?"""
"Home_4.75","DialogueBox",0,"“Hello there, my honey bear. How did the final test of the year go?”"
"Home_4","DialogueBox",0,"""Welcome home honey"""
"Home_4","DialogueBox",1,"""How was today?"""
"Home_5","DialogueBox",0,"“Happy birthday, my love. I miss you every day, and I hope you are doing well”"
"Home_T1","DialogueBox",0,"""Oh hi honey bear, welcome home! Did you have a nice day out with dad?"""
"Home_T2","DialogueBox",0,"""I made berry jam pie today, would you like some?"""
"Salmon_T1","DialogueBox",0,"""Here's the trick to catching salmon"""
"Salmon_T1","DialogueBox",1,"""Hold (Left Mouse Button) to charge your 'reach meter' """
"Salmon_T1","DialogueBox",2,"""And when you feel like it's enough"""
"Salmon_T1","DialogueBox",3,"""Release the (Left Mouse Button)"""
"Salmon_T1","DialogueBox",4,"""It's all about timing"""
"Salmon_T1","DialogueBox",5,"""Give it a try"""
"Home_1","DialogueBox",0,"O hi honey bear, welcome home, had a nice day with dad?"
"Home_2","DialogueBox",0,"I made berry jam pie today, would you like some?"
